,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
5,num_of_word_1,1673,3925,6110,3514,5404,4125.2
11,num_of_word_3,1596,3276,4803,4109,4804,3717.6
8,num_of_word_2,1001,3052,4527,3391,4090,3212.2
2,num_of_word_0,1574,2720,3403,3406,3616,2943.8
14,num_of_word_4,1183,3006,3081,2767,4279,2863.2
21,num_of_word_5,904,2495,3451,2865,3965,2736.0
24,num_of_word_6,824,2684,3409,2621,3461,2599.8
27,num_of_word_7,762,2374,3026,2759,3120,2408.2
33,num_of_word_9,1029,2078,2825,2388,3221,2308.2
36,num_of_word_10,708,2155,2899,2073,2845,2136.0
30,num_of_word_8,650,2299,2722,1845,2965,2096.2
39,num_of_word_11,881,2091,2290,1995,2985,2048.4
42,num_of_word_12,838,1477,2153,1742,2196,1681.2
51,num_of_word_15,663,1892,2108,1332,2208,1640.6
45,num_of_word_13,705,1650,2345,1252,1989,1588.2
48,num_of_word_14,437,1597,1717,1405,2162,1463.6
57,num_of_word_17,330,1093,1756,1506,2002,1337.4
54,num_of_word_16,366,1244,1387,1261,1721,1195.8
63,num_of_word_19,377,918,1503,1110,1481,1077.8
60,num_of_word_18,344,865,1509,968,1573,1051.8
75,num_of_word_23,252,1034,1422,1098,1233,1007.8
66,num_of_word_20,407,791,1363,911,1261,946.6
17,cnt_Y,575,675,1066,986,1064,873.2
72,num_of_word_22,156,781,931,974,1125,793.4
78,num_of_word_24,344,865,1241,660,803,782.6
81,num_of_word_25,172,738,1003,812,956,736.2
69,num_of_word_21,278,751,806,871,694,680.0
84,num_of_word_26,248,769,887,591,888,676.6
96,num_of_word_30,137,695,1080,441,784,627.4
111,num_of_word_35,83,524,893,679,542,544.2
87,num_of_word_27,147,636,646,629,593,530.2
90,num_of_word_28,138,574,740,591,556,519.8
105,num_of_word_33,170,458,580,598,612,483.6
144,num_of_word_46,83,480,648,330,702,448.6
93,num_of_word_29,140,436,718,257,632,436.6
114,num_of_word_36,51,408,510,427,532,385.6
108,num_of_word_34,114,440,554,256,434,359.6
99,num_of_word_31,148,434,446,294,458,356.0
102,num_of_word_32,92,437,346,417,439,346.2
135,num_of_word_43,153,359,336,343,448,327.8
123,num_of_word_39,114,244,430,354,349,298.2
126,num_of_word_40,151,234,336,320,433,294.8
117,num_of_word_37,41,173,601,234,421,294.0
180,num_of_word_58,84,158,348,349,473,282.4
132,num_of_word_42,42,271,282,320,254,233.8
