,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
7,num_of_word_0_cnt_Z_mul,611,439,463,470,930,582.6
0,num_of_word_1_num_of_word_0_div,443,441,531,347,605,473.4
3,num_of_word_1_cnt_Z_div,406,402,341,402,508,411.8
16,num_of_word_1_cnt_Z_mul,286,316,436,296,545,375.8
1,num_of_word_2_num_of_word_2_mul,244,200,444,328,427,328.6
6,num_of_word_1_num_of_word_0_mul,323,233,349,298,365,313.6
67,num_of_word_0_cnt_Z_div,285,226,133,269,515,285.6
4,num_of_word_3_num_of_word_3_mul,296,184,241,238,310,253.8
11,num_of_word_0_num_of_word_3_div,249,177,223,160,454,252.6
5,num_of_word_3_num_of_word_2_mul,105,108,415,264,359,250.2
9,num_of_word_0_num_of_word_1_div,355,216,259,200,203,246.6
2,num_of_word_3_num_of_word_2_div,253,157,248,175,310,228.6
10,num_of_word_4_num_of_word_5_mul,210,127,270,98,425,226.0
13,num_of_word_12_num_of_word_10_div,169,128,320,205,252,214.8
14,num_of_word_2_num_of_word_6_mul,133,91,236,80,471,202.2
17,num_of_word_2_cnt_X_mul,195,126,98,128,428,195.0
19,num_of_word_10_num_of_word_11_div,207,128,190,136,307,193.6
34,num_of_word_2_num_of_word_0_mul,74,220,156,102,392,188.8
15,num_of_word_7_num_of_word_10_mul,191,226,110,116,289,186.4
8,num_of_word_1_num_of_word_3_mul,121,269,156,221,158,185.0
23,num_of_word_0_num_of_word_4_mul,157,144,271,89,256,183.4
24,num_of_word_6_num_of_word_8_mul,145,143,148,223,228,177.4
62,num_of_word_1_cnt_X_div,107,86,245,80,368,177.2
33,num_of_word_2_num_of_word_0_div,128,106,231,118,295,175.6
27,num_of_word_9_num_of_word_8_mul,96,200,211,64,297,173.6
30,num_of_word_1_num_of_word_2_div,171,125,154,92,324,173.2
37,num_of_word_5_num_of_word_6_mul,167,146,259,112,177,172.2
28,num_of_word_15_num_of_word_13_div,88,107,273,83,305,171.2
12,num_of_word_0_cnt_X_mul,163,127,225,78,254,169.4
22,num_of_word_3_num_of_word_14_mul,83,162,203,106,270,164.8
43,num_of_word_24_num_of_word_19_div,217,102,114,143,233,161.8
26,num_of_word_23_num_of_word_25_mul,108,189,122,140,245,160.8
20,num_of_word_3_num_of_word_0_mul,190,100,289,90,128,159.4
21,num_of_word_4_num_of_word_6_div,91,104,236,91,272,158.8
32,num_of_word_8_num_of_word_12_div,140,124,128,99,301,158.4
35,num_of_word_3_num_of_word_17_div,179,85,164,169,194,158.2
29,num_of_word_6_num_of_word_7_div,116,126,181,106,260,157.8
25,num_of_word_3_cnt_Z_div,140,96,152,145,256,157.8
98,num_of_word_0_cnt_Y_div,89,41,98,107,446,156.2
40,num_of_word_7_num_of_word_8_div,136,186,199,41,218,156.0
31,num_of_word_11_num_of_word_13_div,44,136,186,136,264,153.2
41,num_of_word_2_num_of_word_4_div,56,112,154,147,296,153.0
18,num_of_word_12_cnt_Y_mul,117,119,183,64,268,150.2
39,num_of_word_19_num_of_word_18_div,65,152,166,90,275,149.6
59,num_of_word_6_num_of_word_9_div,117,93,149,166,221,149.2
45,num_of_word_12_num_of_word_19_mul,113,145,113,79,292,148.4
54,num_of_word_19_num_of_word_15_div,150,55,188,133,207,146.6
38,num_of_word_10_num_of_word_8_div,174,119,181,84,174,146.4
36,num_of_word_7_num_of_word_12_div,201,132,101,115,180,145.8
48,num_of_word_1_num_of_word_5_mul,220,63,60,42,341,145.2
51,num_of_word_1_num_of_word_29_mul,99,101,193,91,235,143.8
42,num_of_word_11_num_of_word_5_div,41,92,152,96,331,142.4
96,num_of_word_1_num_of_word_15_div,127,95,111,102,271,141.2
63,num_of_word_0_num_of_word_4_div,114,92,228,98,171,140.6
72,num_of_word_2_num_of_word_7_div,121,74,87,93,328,140.6
55,num_of_word_15_num_of_word_10_div,129,120,164,108,182,140.6
52,num_of_word_4_num_of_word_5_div,83,125,166,92,231,139.4
81,num_of_word_4_num_of_word_9_div,136,162,151,103,138,138.0
111,num_of_word_5_num_of_word_3_div,117,54,130,161,227,137.8
44,num_of_word_6_num_of_word_9_mul,129,82,104,74,297,137.2
97,num_of_word_13_cnt_Z_div,100,130,90,178,187,137.0
49,num_of_word_5_num_of_word_8_div,86,65,124,80,324,135.8
78,num_of_word_3_num_of_word_6_div,139,121,129,67,219,135.0
95,num_of_word_1_num_of_word_2_mul,105,217,55,68,226,134.2
71,num_of_word_7_cnt_Z_div,109,95,108,79,277,133.6
46,num_of_word_5_num_of_word_8_mul,123,23,150,115,257,133.6
64,num_of_word_18_num_of_word_10_div,93,75,165,64,270,133.4
73,num_of_word_2_cnt_Z_mul,67,68,180,48,304,133.4
56,num_of_word_7_cnt_Y_mul,72,78,133,104,275,132.4
47,num_of_word_12_num_of_word_13_div,199,64,169,134,96,132.4
53,num_of_word_27_num_of_word_17_div,104,95,76,93,291,131.8
69,num_of_word_17_num_of_word_19_div,33,144,118,43,314,130.4
84,num_of_word_12_num_of_word_23_mul,149,110,159,76,156,130.0
60,num_of_word_28_num_of_word_40_mul,108,120,78,142,200,129.6
68,num_of_word_11_num_of_word_12_div,69,107,106,35,328,129.0
66,num_of_word_3_num_of_word_4_div,132,115,97,37,258,127.8
70,num_of_word_6_cnt_Z_mul,132,107,127,43,226,127.0
92,num_of_word_7_cnt_X_div,105,140,170,81,139,127.0
86,num_of_word_16_num_of_word_4_div,199,54,52,50,276,126.2
50,num_of_word_11_num_of_word_15_div,104,80,129,80,235,125.6
93,num_of_word_1_num_of_word_8_div,109,178,74,69,197,125.4
100,num_of_word_3_cnt_Y_mul,118,97,56,62,290,124.6
103,num_of_word_30_num_of_word_33_div,147,76,206,87,104,124.0
61,num_of_word_10_num_of_word_14_mul,86,120,84,79,251,124.0
101,num_of_word_6_cnt_X_div,171,100,112,80,155,123.6
102,cnt_Y_cnt_X_div,74,136,135,120,152,123.4
82,num_of_word_3_cnt_X_div,52,91,156,143,166,121.6
116,num_of_word_15_num_of_word_16_div,119,92,145,66,185,121.4
75,num_of_word_6_num_of_word_39_mul,78,136,143,107,142,121.2
137,num_of_word_7_num_of_word_5_div,131,65,149,136,125,121.2
79,num_of_word_3_num_of_word_4_mul,138,117,128,54,169,121.2
87,num_of_word_14_num_of_word_17_mul,93,115,70,67,260,121.0
76,num_of_word_23_num_of_word_20_mul,80,107,123,97,197,120.8
113,num_of_word_1_num_of_word_7_mul,101,20,273,119,89,120.4
74,num_of_word_4_num_of_word_11_div,88,176,104,58,176,120.4
127,num_of_word_0_num_of_word_16_mul,109,88,71,38,295,120.2
90,num_of_word_3_cnt_Z_mul,83,71,129,119,198,120.0
57,num_of_word_4_num_of_word_1_div,94,10,180,57,258,119.8
122,num_of_word_3_num_of_word_1_div,94,98,115,36,256,119.8
160,num_of_word_11_cnt_Z_div,136,83,42,96,242,119.8
112,num_of_word_2_num_of_word_6_div,191,91,75,71,170,119.6
123,num_of_word_14_num_of_word_16_div,75,67,109,106,240,119.4
125,num_of_word_14_num_of_word_7_div,101,84,165,119,127,119.2
142,num_of_word_8_num_of_word_11_div,68,122,137,62,204,118.6
108,num_of_word_15_num_of_word_5_div,101,81,122,79,210,118.6
99,num_of_word_28_num_of_word_29_div,77,85,188,47,193,118.0
77,num_of_word_2_num_of_word_4_mul,127,81,132,62,187,117.8
65,num_of_word_7,116,103,66,66,236,117.4
109,num_of_word_22_num_of_word_27_div,79,42,65,82,319,117.4
174,num_of_word_8_num_of_word_11_mul,158,87,58,98,183,116.8
89,num_of_word_18_num_of_word_30_mul,61,85,164,37,234,116.2
115,num_of_word_23_num_of_word_28_div,169,151,45,102,112,115.8
169,num_of_word_2_cnt_Z_div,83,57,125,69,245,115.8
85,num_of_word_3_num_of_word_10_mul,94,73,155,59,197,115.6
151,num_of_word_0_num_of_word_8_mul,170,65,118,86,137,115.2
94,num_of_word_12,155,24,166,45,185,115.0
58,num_of_word_5_num_of_word_6_div,71,80,99,96,229,115.0
134,num_of_word_9_cnt_X_div,25,104,91,57,297,114.8
120,num_of_word_9_num_of_word_8_div,115,109,89,80,180,114.6
129,num_of_word_8_num_of_word_26_div,98,30,222,44,178,114.4
132,cnt_Y_num_of_word_1_div,81,151,53,32,254,114.2
88,num_of_word_7_num_of_word_10_div,131,118,117,63,139,113.6
83,num_of_word_4_cnt_Y_mul,119,97,160,24,168,113.6
135,num_of_word_4_num_of_word_11_mul,142,65,154,44,161,113.2
199,num_of_word_3_num_of_word_8_div,147,52,65,70,231,113.0
170,num_of_word_4_cnt_Z_div,171,44,68,64,217,112.8
105,num_of_word_10_num_of_word_12_div,141,123,146,52,99,112.2
139,num_of_word_2_num_of_word_3_div,183,37,89,93,156,111.6
141,num_of_word_23_num_of_word_24_div,118,57,92,97,193,111.4
157,num_of_word_2_cnt_X_div,169,44,86,43,214,111.2
197,cnt_Z_num_of_word_1_div,170,90,71,86,135,110.4
114,num_of_word_7_num_of_word_15_div,86,123,116,94,133,110.4
126,num_of_word_13_num_of_word_7_div,93,96,161,96,104,110.0
187,num_of_word_0_cnt_X_div,73,70,115,62,230,110.0
222,num_of_word_14_cnt_Z_div,65,40,57,159,228,109.8
210,num_of_word_1_num_of_word_5_div,46,80,154,21,244,109.0
156,num_of_word_31_num_of_word_32_div,135,85,130,100,95,109.0
229,num_of_word_23_num_of_word_27_div,27,99,57,118,240,108.2
128,num_of_word_12_num_of_word_14_div,65,85,198,58,132,107.6
143,num_of_word_7_num_of_word_18_div,149,45,122,99,123,107.6
184,num_of_word_8_cnt_Z_mul,98,22,241,60,117,107.6
149,num_of_word_8_cnt_Y_mul,58,56,154,50,219,107.4
91,num_of_word_7_num_of_word_11_div,66,117,90,38,225,107.2
178,num_of_word_5,65,92,87,112,180,107.2
161,num_of_word_4_num_of_word_0_div,131,95,142,88,76,106.4
138,num_of_word_9_cnt_X_mul,97,130,50,55,197,105.8
177,num_of_word_25_cnt_Z_mul,47,84,179,37,180,105.4
235,num_of_word_0_num_of_word_6_div,75,31,54,50,315,105.0
158,num_of_word_9_num_of_word_11_div,108,54,149,40,173,104.8
140,num_of_word_6_num_of_word_17_mul,82,126,120,11,184,104.6
145,num_of_word_24_num_of_word_17_div,79,119,27,122,175,104.4
80,num_of_word_1_num_of_word_16_mul,46,270,79,63,64,104.4
164,num_of_word_0_num_of_word_9_div,76,66,141,64,175,104.4
195,num_of_word_12_num_of_word_6_div,70,69,46,93,244,104.4
155,num_of_word_8_num_of_word_22_div,64,88,63,73,231,103.8
175,num_of_word_9_num_of_word_4_div,61,76,112,49,217,103.0
104,num_of_word_1_num_of_word_16_div,95,100,146,94,79,102.8
106,num_of_word_7_num_of_word_4_div,100,111,101,78,123,102.6
110,num_of_word_4_num_of_word_8_mul,54,118,89,50,202,102.6
179,num_of_word_23_num_of_word_19_div,172,35,156,54,96,102.6
202,num_of_word_4_cnt_X_mul,141,74,73,31,192,102.2
173,num_of_word_0_num_of_word_9_mul,72,117,130,50,141,102.0
130,num_of_word_25_num_of_word_10_div,110,119,132,6,142,101.8
118,num_of_word_5_cnt_Z_mul,72,87,102,130,118,101.8
119,num_of_word_6_num_of_word_35_div,108,91,136,53,120,101.6
269,num_of_word_4_num_of_word_10_div,81,85,98,56,187,101.4
190,num_of_word_3_num_of_word_10_div,130,38,77,87,172,100.8
148,num_of_word_6,47,110,87,70,189,100.6
136,num_of_word_4_num_of_word_3_div,70,104,77,39,211,100.2
107,num_of_word_0_num_of_word_10_mul,65,17,125,134,159,100.0
194,num_of_word_9_num_of_word_12_div,50,112,111,20,207,100.0
117,num_of_word_1_num_of_word_6_div,126,83,85,16,187,99.4
212,num_of_word_1_num_of_word_15_mul,47,103,76,83,187,99.2
218,num_of_word_23_num_of_word_25_div,113,72,46,40,224,99.0
182,num_of_word_3_num_of_word_9_div,61,76,132,92,134,99.0
226,num_of_word_18_num_of_word_22_div,71,74,102,75,170,98.4
211,num_of_word_0_num_of_word_11_div,92,83,124,90,102,98.2
203,num_of_word_7_num_of_word_3_div,47,86,76,128,154,98.2
286,num_of_word_7_num_of_word_1_div,75,42,122,140,111,98.0
162,num_of_word_9_num_of_word_6_div,44,68,73,128,176,97.8
133,num_of_word_9_num_of_word_7_div,52,72,124,63,178,97.8
193,num_of_word_9_num_of_word_21_div,75,134,48,121,110,97.6
131,num_of_word_4_cnt_Z_mul,114,80,110,40,143,97.4
266,num_of_word_5_cnt_Y_mul,38,80,110,117,138,96.6
146,num_of_word_7_cnt_Z_mul,31,115,149,72,115,96.4
200,num_of_word_7_num_of_word_6_div,59,76,112,35,199,96.2
215,num_of_word_2_num_of_word_5_div,39,50,119,48,224,96.0
236,num_of_word_12_num_of_word_18_mul,206,41,57,23,152,95.8
165,num_of_word_11_num_of_word_14_div,114,150,114,32,67,95.4
234,num_of_word_13_num_of_word_14_mul,139,48,36,63,188,94.8
209,num_of_word_10_num_of_word_2_div,31,112,65,148,118,94.8
176,num_of_word_2_num_of_word_7_mul,116,104,69,76,108,94.6
124,num_of_word_4_num_of_word_6_mul,98,83,54,66,172,94.6
152,num_of_word_6_num_of_word_11_div,67,38,178,59,129,94.2
221,num_of_word_11_cnt_Y_div,70,56,127,80,137,94.0
147,num_of_word_1_num_of_word_4_mul,142,77,78,42,131,94.0
216,num_of_word_13_num_of_word_11_div,40,66,77,65,221,93.8
191,num_of_word_10_num_of_word_27_div,49,132,160,41,86,93.6
225,num_of_word_15_num_of_word_13_mul,55,72,111,44,186,93.6
281,num_of_word_16_num_of_word_18_mul,86,137,107,27,110,93.4
246,num_of_word_4_num_of_word_2_div,23,41,123,100,178,93.0
204,num_of_word_28_num_of_word_14_div,107,20,85,24,229,93.0
431,num_of_word_13_num_of_word_8_div,62,53,161,57,131,92.8
201,num_of_word_6_num_of_word_10_div,60,54,94,54,202,92.8
183,num_of_word_9_num_of_word_10_div,120,78,77,79,110,92.8
144,num_of_word_0_num_of_word_7_mul,64,66,189,43,101,92.6
159,num_of_word_5_num_of_word_12_div,76,121,68,54,142,92.2
263,num_of_word_22_num_of_word_13_div,46,71,153,66,121,91.4
241,num_of_word_9_num_of_word_33_div,78,63,127,121,68,91.4
233,num_of_word_8_num_of_word_7_div,59,56,133,44,165,91.4
277,num_of_word_25_num_of_word_21_div,98,35,96,47,181,91.4
270,num_of_word_1_num_of_word_9_mul,123,25,87,87,132,90.8
224,num_of_word_10_num_of_word_14_div,46,131,105,37,135,90.8
230,num_of_word_19_num_of_word_22_mul,89,49,80,100,135,90.6
264,num_of_word_10_cnt_Z_mul,77,21,76,69,210,90.6
206,num_of_word_8_num_of_word_6_div,60,56,107,55,174,90.4
217,num_of_word_4_cnt_X_div,90,51,67,119,125,90.4
181,num_of_word_2_num_of_word_8_div,43,85,25,30,268,90.2
265,num_of_word_17_num_of_word_18_div,49,116,66,63,155,89.8
220,num_of_word_10_num_of_word_5_div,57,62,186,49,95,89.8
248,num_of_word_18_num_of_word_20_div,83,43,148,28,147,89.8
223,num_of_word_1_num_of_word_6_mul,112,30,53,50,203,89.6
240,num_of_word_30_num_of_word_21_div,42,41,119,17,229,89.6
257,num_of_word_15,115,64,122,65,82,89.6
259,num_of_word_4_num_of_word_9_mul,118,28,153,15,134,89.6
153,num_of_word_25_num_of_word_18_div,61,113,110,105,59,89.6
232,num_of_word_8_num_of_word_10_div,60,54,147,70,114,89.0
167,num_of_word_26_num_of_word_14_div,116,47,69,85,127,88.8
249,num_of_word_11_num_of_word_13_mul,102,54,90,41,156,88.6
121,cnt_X_num_of_word_12_div,96,70,149,12,115,88.4
228,num_of_word_1_cnt_Y_mul,36,40,145,74,146,88.2
150,num_of_word_13_num_of_word_14_div,67,53,91,120,108,87.8
282,num_of_word_23_num_of_word_31_mul,141,81,71,36,109,87.6
251,num_of_word_23_num_of_word_21_div,105,102,135,34,61,87.4
268,num_of_word_0_num_of_word_5_div,103,55,69,65,144,87.2
185,num_of_word_18_num_of_word_20_mul,240,47,37,15,96,87.0
276,num_of_word_0_cnt_Y_mul,96,70,86,48,134,86.8
261,num_of_word_9_num_of_word_1_div,140,46,29,123,96,86.8
271,num_of_word_4_num_of_word_12_div,54,64,121,31,163,86.6
208,num_of_word_2_num_of_word_1_div,86,77,74,62,133,86.4
205,num_of_word_9_num_of_word_5_div,128,44,97,41,121,86.2
247,num_of_word_9_cnt_Z_div,135,55,74,96,70,86.0
243,num_of_word_17_num_of_word_13_div,31,108,105,95,89,85.6
305,num_of_word_3_num_of_word_13_div,109,61,59,14,184,85.4
168,num_of_word_14_num_of_word_20_div,84,108,62,44,129,85.4
301,num_of_word_5_num_of_word_13_div,64,88,18,87,168,85.0
238,num_of_word_15_num_of_word_24_mul,68,89,136,54,78,85.0
192,num_of_word_2_num_of_word_9_mul,49,50,137,42,146,84.8
313,num_of_word_21_cnt_Z_div,128,59,37,64,136,84.8
288,num_of_word_15_num_of_word_8_div,46,70,80,115,113,84.8
154,num_of_word_9_num_of_word_12_mul,46,91,34,59,193,84.6
171,num_of_word_23_num_of_word_30_div,98,39,59,46,178,84.0
362,num_of_word_2_num_of_word_16_mul,63,51,72,57,177,84.0
296,num_of_word_10_num_of_word_7_div,84,60,45,81,149,83.8
198,num_of_word_17_num_of_word_16_mul,118,49,94,50,107,83.6
262,num_of_word_8,63,78,115,35,127,83.6
227,num_of_word_20_num_of_word_22_div,80,56,129,38,113,83.2
258,num_of_word_6_num_of_word_3_div,50,92,131,36,107,83.2
279,num_of_word_10_num_of_word_13_div,95,105,87,39,89,83.0
244,cnt_X_num_of_word_6_div,67,56,162,28,100,82.6
290,cnt_Y_num_of_word_22_mul,37,113,40,61,162,82.6
186,num_of_word_6_cnt_Y_div,26,143,77,63,104,82.6
256,num_of_word_12_cnt_Z_div,67,71,57,68,149,82.4
332,num_of_word_3_num_of_word_32_div,145,67,64,52,84,82.4
308,num_of_word_2_num_of_word_5_mul,97,45,99,21,149,82.2
334,num_of_word_18_num_of_word_9_div,51,37,65,78,180,82.2
207,num_of_word_9_num_of_word_22_mul,52,77,94,80,107,82.0
337,num_of_word_10_cnt_X_mul,44,117,34,20,195,82.0
166,num_of_word_8_num_of_word_19_div,1,38,192,24,153,81.6
299,num_of_word_26_num_of_word_28_div,98,54,44,48,164,81.6
373,num_of_word_14_cnt_Y_mul,91,85,66,24,140,81.2
329,cnt_X_num_of_word_0_div,76,136,64,41,89,81.2
189,num_of_word_6_num_of_word_13_mul,25,103,101,28,147,80.8
294,num_of_word_3_num_of_word_27_mul,50,12,185,74,83,80.8
254,num_of_word_30_num_of_word_32_div,24,108,104,83,84,80.6
309,num_of_word_4_num_of_word_14_div,68,34,125,9,167,80.6
280,num_of_word_24_num_of_word_32_div,55,49,46,87,165,80.4
319,num_of_word_11_num_of_word_8_div,50,126,52,44,130,80.4
355,num_of_word_19_num_of_word_24_div,93,70,41,69,127,80.0
321,num_of_word_17_num_of_word_6_div,44,67,30,68,189,79.6
320,num_of_word_9_cnt_Z_mul,30,79,63,86,140,79.6
336,num_of_word_7_num_of_word_19_mul,86,66,55,61,129,79.4
214,num_of_word_7_num_of_word_28_div,99,15,74,115,93,79.2
172,num_of_word_1_num_of_word_17_mul,103,57,95,57,84,79.2
213,num_of_word_17_num_of_word_20_div,87,92,91,55,71,79.2
